SeqId,SomaId,Target Name,Target Full Name,UniProt ID,Type,Organism,Dilution,Apparent Kd (M),LoDB (RFU),Signal To Noise Plasma,Intra-Plate CV Plasma,Inter-Plate CV Plasma,Total CV Plasma,Correlation Plasma,F-Statistic Plasma,Lower 95% Normal Plasma (RFU),Median Normal Plasma (RFU),Upper 95% Normal Plasma (RFU),Signal To Noise Serum,Intra-Plate CV Serum,Inter-Plate CV Serum,Total CV Serum,Correlation Serum,F-Statistic Serum,Lower 95% Normal Serum (RFU),Median Normal Serum (RFU),Upper 95% Normal Serum (RFU),Characterization Info,Orthogonal Strategies,MRM-MS Data,DDA-MS Data,Genetic Strategies,Entrez Gene Name,Entrez Gene ID,Ensembl Gene ID,HGNC ID,SELEX Target Name,SELEX UniProt ID,Serum Scalar v4.0 to v4.1,Serum Lin's CCC,Plasma Scalar v4.0 to v4.1,Plasma Lin's CCC
10000-28,SL019233,CRBB2,Beta-crystallin B2,P43320,Protein,Human,20%,1.24E-10,65,6.085,0.031,0.036,0.048,0.901,174.546,402,476,1852,15.456,0.016,0.012,0.02,0.795,11.32,690,785,1666,,,,,,CRYBB2,1415,ENSG00000244752,HGNC:2398,,,1.6,0.967,1.053,0.963
10001-7,SL002564,c-Raf,RAF proto-oncogene serine/threonine-protein kinase,P04049,Protein,Human,20%,1.18E-11,61,5.159,0.028,0.024,0.037,0.928,43.156,252,447,1039,6.408,0.025,0.043,0.05,0.798,6.694,255,289,388,,,,,,RAF1,5894,ENSG00000132155,HGNC:9829,,,1.496,0.875,1.3,0.875
10003-15,SL019245,ZNF41,Zinc finger protein 41,P51814,Protein,Human,0.5%,4.33E-11,46,2.291,0.079,0.056,0.097,0.738,0.71,84,117,353,3.903,0.062,0.044,0.076,0.585,0.665,123,164,425,,,,,,ZNF41,7592,ENSG00000147124,HGNC:13107,,,1.917,0.774,1.507,0.668
10006-25,SL019228,ELK1,ETS domain-containing protein Elk-1,P19419,Protein,Human,20%,3.37E-12,54,10.595,0.028,0.027,0.039,0.835,8.447,595,775,1330,15.598,0.027,0.021,0.034,0.666,5.44,615,697,1119,,,,,,ELK1,2002,ENSG00000126767,HGNC:3321,,,1.39,0.937,0.826,0.877
10008-43,SL019234,GUC1A,Guanylyl cyclase-activating protein 1,P43080,Protein,Human,20%,5.26E-11,54,7.807,0.046,0.046,0.065,0.815,12.276,381,532,1579,13.53,0.022,0.013,0.026,0.925,45.043,539,706,1582,,,,,,GUCA1A,2978,ENSG00000048545,HGNC:4678,,,1.355,0.925,0.902,0.908
10011-65,SL019246,OCRL,Inositol polyphosphate 5-phosphatase OCRL-1,Q01968,Protein,Human,20%,7.25E-11,117,15.867,0.032,0.044,0.054,0.758,7.77,1559,2520,4301,21.764,0.033,0.022,0.04,0.573,2.372,1703,2124,3262,,,,,,OCRL,4952,ENSG00000122126,HGNC:8108,,,1.297,0.741,1.073,0.743
10012-5,SL014669,SPDEF,SAM pointed domain-containing Ets transcription factor,O95238,Protein,Human,20%,1.35E-10,100,10.92,0.097,0.098,0.138,0.784,6.287,924,1466,2151,24.686,0.029,0.025,0.039,0.835,7.822,1429,1860,2316,,,,,,SPDEF,25803,ENSG00000124664,HGNC:17257,,,1.24,0.716,0.868,0.591
10013-34,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,Protein,Mouse,20%,,52,6.614,0.07,0.074,0.102,0.756,5.405,297,465,662,14.458,0.038,0.023,0.044,0.621,3.309,476,608,782,,,,,,Igh,,,,K0319,Q5VV43,1.6,0.778,0.953,0.744
10014-31,SL007803,SLUG,Zinc finger protein SNAI2,O43623,Protein,Human,20%,1.84E-11,117,5.517,0.015,0.031,0.034,0.926,166.005,694,874,2705,10.965,0.014,0.014,0.02,0.868,11.387,901,1013,2355,,,,,,SNAI2,6591,ENSG00000019549,HGNC:11094,,,1.463,0.913,0.93,0.941
10015-119,SL014924,KCAB2,Voltage-gated potassium channel subunit beta-2,Q13303,Protein,Human,20%,7.99E-11,96,4.928,0.039,0.034,0.052,0.937,127.531,472,696,1153,8.325,0.017,0.014,0.022,0.936,40.431,528,618,914,,,,,,KCNAB2,8514,ENSG00000069424,HGNC:6229,,,1.507,0.787,0.826,0.737
